STuff1,Date,Stuff2,Stuff3,,,,,,
615 Sa1 Samarqand ,302, 09/R , 2.66 e ,1353,,,,,
616 Sa1 Samarqand ,302, 10/R ,3.01,353,,,,,
617 Sa1 Samarqand ,302, 14/R ,3.43,304,,,,,
618 Sa1 Samarqand ,303, 01/R ,3.23,30,,,,,
619 Sa1 Samarqand ,303, 01/R ,3.06,503,,,,,
620 Sa1 Samarqand ,303, 01/R , 0.92 fh ,1148,,,,,
621 Sa1 Samarqand ,303, 03/R ,2.97,298,,,,,
622 Sa1 Samarqand ,303, 03/R ,2.78,117,,,,,
623 Sa1 Samarqand ,303, 04/R ,2.9,442,,,,,
624 Sa1 Samarqand ,303, 04/R , 0.99 f ,1264,,,,,
625 Sa1 Samarqand ,303, 07/R ,4.07,449,,,,,
626 Sa1 Samarqand ,304, 03/R ,3,241,,,,,
627 Sa1 Samarqand ,304, 03/R , 0.87 f ,1163,,,,,
628 Sa1 Samarqand ,304, 04/R ,3.36,401,,,,,
629 Sa1 Samarqand ,304, 06/R ,3.1,37,,,,,
630 Sa1 Samarqand ,304, 08/R , 1.77 fh ,1078,,,,,
631 Sa1 Samarqand ,304, 09/R , 1.83 f ,891,,,,,
632 Sa1 Samarqand ,304, 10/R , 1.28 f ,1087,,,,,
633 Sa1 Samarqand ,304, 11/R ,3.29,19,,,,,
634 Sa1 Samarqand ,305, 01/R , 1.36 f ,1347,,,,,
635 Sa1 Samarqand ,305, 02/R03 ,2.99,473,,,,,
636 Sa1 Samarqand ,305, 03/R ,4.42,175,,,,,
637 Sa1 Samarqand ,305, 05/R ,3.54,289,,,,,
638 Sa1 Samarqand ,305, 05/R ,3.09,403,,,,,
639 Sa1 Samarqand ,305, 06/R ,3,64,,,,,
640 Sa1 Samarqand ,305, 07/R , 1.51 f ,1257,,,,,
641 Sa1 Samarqand ,305, 10/R , 1.49 f ,764,,,,,
642 Sa1 Samarqand ,305, 10/R01 , 2.75 f ,1110,,,,,
643 Sa1 Samarqand ,305, 12/R ,2.98,492,,,,,
644 Sa1 Samarqand ,305, 13/R , 2.35 f ,975,,,,,
645 Sa1 Samarqand ,305, 14/R ,2.75,28,,,,,
646 Sa1 Samarqand ,306, 01/R ,2.85,395,,,,,
647 Sa1 Samarqand ,306, 04/R , 0.94 f ,814,,,,,
648 Sa1 Samarqand ,306, 05/R , 0.79 f ,897,,,,,
649 Sa1 Samarqand ,306, 07/R , 1.68 f ,706,,,,,
650 Sa1 Samarqand ,307, 07/R ,3.05,383,,,,,
651 Sa1 Samarqand ,307, 07/R , 0.92 f ,1037,,,,,
652 Sa1 Samarqand ,307, 08/R05 , 1.54 f ,664,,,,,
653 Sa1 Samarqand ,307, 13/R ,2.97,82,,,,,
654 Sa1 Samarqand ,308,3.58,248,,,,,,
655 Sa1 Samarqand ,308, 02/R ,3.52,24,,,,,
656 Sa1 Samarqand ,308, 03/R , 1.69 fg ,1323,,,,,
657 Sa1 Samarqand ,308, 11/R ,3.16,1381,,,,,
658 Sa1 Samarqand ,309, 02/R ,2.81,331,,,,,
659 Sa1 Samarqand ,309, 02/R , 1.47 fh ,756,,,,,
660 Sa1 Samarqand ,309, 04/R , 1.53 f ,1038,,,,,
661 Sa1 Samarqand ,309, 06/R ,4.27, 2h ,594,,,,
662 Sa1 Samarqand ,309, 06/R , 1.17 f ,792,,,,,
663 Sa1 Samarqand ,309, 07/R , 1.66 f ,803,,,,,
664 Sa1 Samarqand ,309, 10/R ,2.97,224,,,,,
665 Sa1 Samarqand ,309, 12/R ,2.54,205,,,,,
666 Sa2 Samarqand ,310, 07/R ,3.66,554,,,,,
667 Sa2 Samarqand ,310, 08/R , 3.18 e ,537,,,,,
668 Sa2 Samarqand ,310, 08/R , 3.11 h ,586,,,,,
669 Sa2 Samarqand ,310, 08/R ,2.76,253,,,,,
670 Sa2 Samarqand ,310, 10/R , 2.05 c ,515,,,,,
671 Sa2 Samarqand ,310, 11/R ,3.34,176,,,,,
672 Sa2 Samarqand ,310, 11/R , 1.88 f ,1294,,,,,
673 Sa2 Samarqand ,310, 13/R ,3.15,42,,,,,
674 Sa2 Samarqand ,310, 13/R , 3.01 e ,535,,,,,
675 Sa2 Samarqand ,310, 20/R ,3.24,425,,,,,
676 Sa2 Samarqand ,310, 20/R ,3.15,336,,,,,
677 Sa2 Samarqand ,311, 02/R , 1.27 f ,1366,,,,,
678 Sa2 Samarqand ,311, 04/R , 1.31 f ,1024,,,,,
679 Sa2 Samarqand ,311, 09/R ,4.46,500,,,,,
680 Sa2 Samarqand ,311, 09/R , 1.39 fh ,684,,,,,
681 Sa2 Samarqand ,311, 17/R , 3.35 h ,590,,,,,
682 Sa2 Samarqand ,311, 19/R ,2.84,384,,,,,
683 Sa2 Samarqand ,311, 19/R14 , 2.24 f ,1100,,,,,
684 Sa2 Samarqand ,312, 04/R ,2.95,246,,,,,
685 Sa2 Samarqand ,312, 04/R , 1.85 f ,778,,,,,
686 Sa2 Samarqand ,312, 07/R ,3.45,134,,,,,
687 Sa2 Samarqand ,312, 08/R ,3.07,391,,,,,
688 Sa2 Samarqand ,312, 12/R ,3.23,374,,,,,
689 Sa2 Samarqand ,30313, 1.21 f ,836,,,,,,
690 Sa2 Samarqand ,30313, 0.97 f ,1095,,,,,,
691 Sa2 Samarqand ,3103, 1.65 f ,1106,,,,,,
692 Sa2 Samarqand ,313, 03/R ,2.81,523,,,,,
693 Sa2 Samarqand ,313, 04/R , 1.29 f ,1154,,,,,
694 Sa2 Samarqand ,313, 06/R ,3.18,231,,,,,
695 Sa2 Samarqand ,313, 09/R , 1.61 f ,1354,,,,,
696 Sa2 Samarqand ,314, 10/R , 1.57 f ,982,,,,,
697 Sa2 Samarqand ,314, 10/R , 1.31 f ,1166,,,,,
698 Sa2 Samarqand ,314, 11/R ,3.17,485,,,,,
699 Sa2 Samarqand ,30815, 1.26 f ,1284,,,,,,
700 Sa2 Samarqand ,30815, 1.12 fg ,709,,,,,,
701 Sa2 Samarqand ,30815, 1.00 f ,1064,,,,,,
702 Sa2 Samarqand ,30815, 0.82 f ,1213,,,,,,
703 Sa2 Samarqand ,315,3.34,21,,,,,,
704 Sa2 Samarqand ,315,3.02,452,,,,,,
705 Sa2 Samarqand ,315,2.94,340,,,,,,
706 Sa2 Samarqand ,315, 1.43 f ,667,,,,,,
707 Sa2 Samarqand ,315, 1.20 f ,768,,,,,,
708 Sa2 Samarqand ,315, 10/R , 1.15 f ,1090,,,,,
709 Sa2 Samarqand ,315, 11/R , 0.98 f ,793,,,,,
710 Sa2 Samarqand ,316, 01/R ,2.77,388,,,,,
711 Sa2 Samarqand ,316, 02/R ,3.8,152,,,,,
712 Sa2 Samarqand ,316, 02/R , 1.89 f ,875,,,,,
713 Sa2 Samarqand ,316, 02/R , 0.44 f ,758,,,,,
714 Sa2 Samarqand ,316, 10/R ,3.15,534,,,,,
715 Sa2 Samarqand ,316, 10/R , 1.51 f ,1056,,,,,
716 Sa2 Samarqand ,317, 07/R , 1.85 f ,1223,,,,,
717 Sa2 Samarqand ,317, 14/R , 1.86 f ,1378,,,,,
718 Sa2 Samarqand ,318, 1.26 f ,1156,,,,,,
719 Sa2 Samarqand ,318, 1.18 f ,1205,,,,,,
720 Sa2 Samarqand ,318, 01/R , 2.70 e ,309,,,,,
721 Sa2 Samarqand ,318, 01/R , 2.46 fh ,633,,,,,
722 Sa2 Samarqand ,318, 06/R , 2.01 fg ,1233,,,,,
723 Sa2 Samarqand ,318, 08/R ,3.21,199,,,,,
724 Sa2 Samarqand ,318, 14/R , 1.89 f ,695,,,,,
725 Sa2 Samarqand ,3109, 0.94 f ,668,,,,,,
726 Sa2 Samarqand ,319, 1.52 f ,923,,,,,,
727 Sa2 Samarqand ,319, 1.38 f ,1171,,,,,,
728 Sa2 Samarqand ,319, 01/R ,3.27,357,,,,,
729 Sa2 Samarqand ,319, 01/R , 0.77 f ,896,,,,,
730 Sa2 Samarqand ,319, 05/R , 1.54 f ,1075,,,,,
731 Sa2 Samarqand ,319, 08/R ,2.59,71,,,,,
732 Sa2 Samarqand ,319, 08/R , 1.49 f ,1375,,,,,
733 Sa2 Samarqand ,30120, 1.39 f ,1066,,,,,,
734 Sa2 Samarqand ,30120, 0.89 f ,1034,,,,,,
735 Sa2 Samarqand ,31520, 1.49 f ,890,,,,,,
736 Sa2 Samarqand ,31520, 1.37 f ,993,,,,,,
737 Sa2 Samarqand ,31520, 1.27 f ,1071,,,,,,
738 Sa2 Samarqand ,320, 02/R ,2.88,132,,,,,
739 Sa2 Samarqand ,320, 03/R , 3.14 h ,583,,,,,
740 Sa2 Samarqand ,320, 03/R , 2.21 f ,766,,,,,
741 Sa2 Samarqand ,320, 04/R , 1.68 f ,867,,,,,
742 Sa2 Samarqand ,320, 04/R , 1.57 f ,1234,,,,,
743 Sa2 Samarqand ,320, 05/R ,3.27,60,,,,,
744 Sa2 Samarqand ,320, 05/R , 2.88 e ,443,,,,,
745 Sa2 Samarqand ,320, 05/R , 2.01 f ,948,,,,,
746 Sa2 Samarqand ,320, 05/R , 1.88 f ,974,,,,,
747 Sa2 Samarqand ,320, 06/R , 1.47 f ,872,,,,,
748 Sa2 Samarqand ,320, 16/R , 2.93 e ,380,,,,,
749 Sa2 Samarqand ,320, 17/R , 1.27 f ,1165,,,,,
750 Sa2 Samarqand ,320, 1.14 f ,1267,,,,,,
751 Sa2 Samarqand ,321, 09/R , 2.69 f ,1126,,,,,
752 Sa2 Samarqand ,321, 03/R ,3,229,,,,,
753 Sa2 Samarqand ,321, 08/R ,3.2,121,,,,,
754 Sa2 Samarqand ,321, 16/R ,4.04,181,,,,,
755 Sa2 Samarqand ,32022, 1.40 f ,1083,,,,,,
756 Sa2 Samarqand ,322, 1.59 f ,776,,,,,,
757 Sa2 Samarqand ,322, 02/R , 1.75 f ,738,,,,,
758 Sa2 Samarqand ,322, 04/R , 1.22 f ,1268,,,,,
759 Sa2 Samarqand ,322, 11/R , 2.01 f ,1192,,,,,
760 Sa2 Samarqand ,322, 12/R ,2.2, 2h ,579,,,,
761 Sa2 Samarqand ,322, 1.95 f ,688,,,,,,
762 Sa2 Samarqand ,322, 06/R ,3.07,413,,,,,
763 Sa2 Samarqand ,322, 06/R , 2.11 fh ,775,,,,,
764 Sa2 Samarqand ,322, 13/R , 0.77 f ,1214,,,,,
765 Sa2 Samarqand ,323, 03/R , 1.85 f ,1076,,,,,
766 Sa2 Samarqand ,323, 1.55 f ,865,,,,,,
767 Sa2 Samarqand ,323, 01/R , 1.95 f ,1108,,,,,
768 Sa2 Samarqand ,323, 01/R , 1.89 f ,1237,,,,,
769 Sa2 Samarqand ,323, 01/R , 1.82 f ,1357,,,,,
770 Sa2 Samarqand ,323, 01/R , 1.80 f ,1122,,,,,
771 Sa2 Samarqand ,323, 02/R , 1.45 f ,1031,,,,,
772 Sa2 Samarqand ,323, 09/R ,2.94,286,,,,,
773 Sa2 Samarqand ,323, 11/R , 3.46 e ,440,,,,,
774 Sa2 Samarqand ,323, 11/R , 2.33 c ,32,,,,,
775 Sa2 Samarqand ,323, 13/R ,3.46,412,,,,,
776 Sa2 Samarqand ,323, 13/R , 1.76 f ,1124,,,,,
777 Sa2 Samarqand ,323, 16/R , 1.15 f ,1313,,,,,
778 Sa2 Samarqand ,323, 19/R , 0.90 f ,956,,,,,
779 Sa2 Samarqand ,323, 27/R , 1.30 f ,623,,,,,
780 Sa2 Samarqand ,324, 02/R ,2.62,275,,,,,
781 Sa2 Samarqand ,324, 05/R ,4.61,48,,,,,
782 Sa2 Samarqand ,324, 07/R , 1.58 fh ,713,,,,,
783 Sa2 Samarqand ,324, 10/R ,3.34,169,,,,,
784 Sa2 Samarqand ,324, 11/R ,3.05,494,,,,,
785 Sa2 Samarqand ,324, 13/R ,3.77,496,,,,,
786 Sa2 Samarqand ,32325, 2.23 f ,734,,,,,,
787 Sa2 Samarqand ,32325, 1.42 f ,953,,,,,,
788 Sa2 Samarqand ,32325, 1.20 f ,677,,,,,,
789 Sa2 Samarqand ,325, 01/R ,3.02,545,,,,,
790 Sa2 Samarqand ,325, 02/R ,2.92,131,,,,,
791 Sa2 Samarqand ,325, 05/R ,3.14,182,,,,,
792 Sa2 Samarqand ,325, 06/R , 2.96 e ,460,,,,,
793 Sa2 Samarqand ,325, 06/R ,2.53,490,,,,,
794 Sa2 Samarqand ,325, 07/R , 1.89 f ,1172,,,,,
795 Sa2 Samarqand ,327, 03/R ,3.83,200,,,,,
796 Sa2 Samarqand ,327, 05/R , 3.07 f ,763,,,,,
797 Sa2 Samarqand ,327, 05/R , 1.63 f ,990,,,,,
798 Sa2 Samarqand ,327, 11/R , 1.36 f ,961,,,,,
799 Sa2 Samarqand ,327, 14/R ,3.01,244,,,,,
800 Sa2 Samarqand ,327, 14/R , 2.59 e ,187,,,,,
801 Sa2 Samarqand ,327, 14/R , 1.91 f ,842,,,,,
802 Sa2 Samarqand ,327, 14/R , 1.02 fg ,1342,,,,,
803 Sa2 Samarqand ,327, 15/R , 1.53 f ,693,,,,,
804 Sa2 Samarqand ,327, 17/R ,3.47,300,,,,,
805 Sa2 Samarqand ,327, 19/R , 3.54 e ,66,,,,,
806 Sa2 Samarqand ,328, 01/R , 2.29 f ,1127,,,,,
807 Sa2 Samarqand ,328, 03/R , 2.08 f ,626,,,,,
808 Sa2 Samarqand ,3209, 1.79 f ,644,,,,,,
809 Sa2 Samarqand ,3229, 1.44 f ,1061,,,,,,
810 Sa2 Samarqand ,32229, 1.22 fh ,601,,,,,,
811 Sa2 Samarqand ,3229, 1.20 f ,782,,,,,,
812 Sa2 Samarqand ,32229, 0.94 f ,1187,,,,,,
813 Sa2 Samarqand ,330, 02/R ,3.33,434,,,,,
814 Sa2 Samarqand ,330, 04/R02 , 3.54 g ,312,,,,,
815 Sa2 Samarqand ,330, 04/R02 , 1.92 f ,973,,,,,
816 Sa2 Samarqand ,330, 06/R ,2.49,288,,,,,
817 Sa2 Samarqand ,330, 06/R , 1.96 f ,1067,,,,,
818 Sa2 Samarqand ,330, 11/R01 , 4.26 e ,441,,,,,
819 Sa2 Samarqand ,330, 11/R01 ,2.81,428,,,,,
820 Sa2 Samarqand ,330, 12/R ,3.3,392,,,,,
821 Sa2 Samarqand ,330, 0.67 f ,788,,,,,,
822 Sa2 Samarqand ,30131, 1.02 f ,1138,,,,,,
823 Sa2 Samarqand ,31031, 1.39 f ,1316,,,,,,
824 Sa2 Samarqand ,31031, 0.77 f ,1007,,,,,,
825 Sa2 Samarqand ,31031, 0.55 f ,1217,,,,,,
826 Sa2 Samarqand ,32931, 1.82 f ,685,,,,,,
827 Sa2 Samarqand ,331, 02/R02 , 0.79 f ,727,,,,,
828 Sa2 Samarqand ,331, 02/R03 , 2.39 f ,1103,,,,,
829 Sa2 Samarqand ,331, 09/R ,3.18,305,,,,,
830 Sa1 al¬Shash ,301, 01/R ,3.19,311,,,,,
831 Sa1 alShash ,301, 01/R ,3.18,354,,,,,
832 Sa1 al¬Shash ,301, 04/R , 3.15 g ,422,,,,,
833 Sa1 al¬Shash ,302, 03/R ,3.01,335,,,,,
834 Sa1 al¬Shash ,302, 03/R ,2.74,20,,,,,
835 Sa1 al¬Shash ,302, 06/R ,2.9,420,,,,,
836 Sa1 al¬Shash ,302, 06/R ,2.89,519,,,,,
837 Sa1 al¬Shash ,302, 06/R ,2.73,49,,,,,
838 Sa1 al¬Shash ,302, 06/R , 1.67 f ,841,,,,,
839 Sa1 al¬Shash ,302, 09/R , 1.61 f ,1230,,,,,
840 Sa1 al¬Shash ,302, 10/R ,3.09,448,,,,,
841 Sa1 al¬Shash ,303, 02/R , 1.30 f ,1072,,,,,
842 Sa1 al¬Shash ,303, 06/R ,2.95,73,,,,,
843 Sa1 al¬Shash ,303, 10/R ,2.84,216,,,,,
844 Sa1 al¬Shash ,304, 03/R , 1.54 f ,1123,,,,,
845 Sa1 alShash ,304, 03/R , 1.27 f ,932,,,,,
846 Sa1 alShash ,304, 04/R , 1.32 f ,1244,,,,,
847 Sa1 al¬Shash ,304, 15/R ,3.2,69,,,,,
848 Sa1 al¬Shash ,304, 15/R ,2.96,430,,,,,
849 Sa1 alShash ,304, 16/R , 1.83 f ,648,,,,,
850 Sa1 al¬Shash ,305, 03/R , 2.86 h ,571,,,,,
851 Sa1 al¬Shash ,305, 04/R ,2.85,302,,,,,
852 Sa1 al¬Shash ,306, 02/R , 2.49 c ,489,,,,,
853 Sa1 al¬Shash ,306, 06/R , 2.95 h ,588,,,,,
854 Sa1 al¬Shash ,306, 07/R ,2.88,215,,,,,
855 Sa1 alShash ,306, 09/R , 2.30 f ,904,,,,,
856 Sa1 al¬Shash ,307, 04/R ,2.99,393,,,,,
857 Sa1 al¬Shash ,308, 01/R ,3.53,356,,,,,
858 Sa1 al¬Shash ,308, 02/R ,2.86,243,,,,,
859 Sa1 al¬Shash ,308, 08/R ,3.42,486,,,,,
860 Sa1 alShash ,308, 08/R , 0.80 f ,785,,,,,
861 Sa1 al¬Shash ,308, 13/R ,2.86,362,,,,,
862 Sa1 al¬Shash ,309, 18/R ,2.68, 2h ,572,,,,
863 Sa1 al¬Shash ,309, 20/R , 3.06 f ,976,,,,,
864 Sa2 alShash ,310, 03/R , 1.66 f ,1175,,,,,
865 Sa2 alShash ,311, 1.65 f ,912,,,,,,
866 Sa2 al¬Shash ,312, 09/R ,3.12,63,,,,,
867 Sa2 al¬Shash ,312, 11/R ,3.01,436,,,,,
868 Sa2 al¬Shash ,312, 12/R ,3.25,361,,,,,
869 Sa2 alShash ,315, 1.03 f ,1145,,,,,,
870 Sa2 al¬Shash ,315, 03/R ,3.19,470,,,,,
871 Sa2 alShash ,315, 29/R , 0.97 f ,1197,,,,,
872 Sa2 al¬Shash ,315, 30/R , 1.13 f ,1211,,,,,
873 Sa2 al¬Shash ,315, 31/R ,3.19,128,,,,,
874 Sa2 alShash ,30816, 1.61 f ,696,,,,,,
875 Sa2 alShash ,3156, 0.66 f ,755,,,,,,
876 Sa2 alShash ,316, 01/R , 1.00 cf ,1091,,,,,
877 Sa2 alShash ,316, 05/R , 1.85 f ,847,,,,,
878 Sa2 alShash ,316, 06/R , 1.07 cf ,1194,,,,,
879 Sa2 alShash ,316, 12/R , 1.56 f ,1044,,,,,
880 Sa2 al¬Shash ,316, 21/R14 ,3.41,426,,,,,
881 Sa2 al¬Shash ,316, 25/R08 , 2.78 e ,736,,,,,
882 Sa2 al¬Shash ,316, 28/R17 , 2.13 c ,337,,,,,
883 Sa2 alShash ,316, 32/R , 1.97 f ,743,,,,,
884 Sa2 al¬Shash ,316, 32/R21 , 2.54 fg ,1272,,,,,
885 Sa2 al¬Shash ,316, 51/R , 1.42 f ,658,,,,,
886 Sa2 al¬Shash ,316, 54/R ,2.68,369,,,,,
887 Sa2 al¬Shash ,316, 55/R ,3.27,293,,,,,
888 Sa2 al¬Shash ,316, 56/R , 2.07 f ,1003,,,,,
889 Sa2 al¬Shash ,316, 57/R ,2.83,167,,,,,
890 Sa2 alShash ,316, 57/R , 1.56 f ,1102,,,,,
891 Sa2 al¬Shash ,316, 52/R ,4.01,98,,,,,
892 Sa2 al¬Shash ,317, ,3.38,158,,,,,
893 Sa2 al¬Shash ,317, 02/R , 2.63 f ,977,,,,,
894 Sa2 alShash ,317, 02/R , 0.92 f ,1147,,,,,
895 Sa2 al¬Shash ,317, 06/R , 1.59 f ,922,,,,,
896 Sa2 alShash ,317, 06/R , 1.09 f ,1193,,,,,
897 Sa2 al¬Shash ,317, 10/R17 ,2.96,333,,,,,
898 Sa2 alShash ,318, 0.87 f ,791,,,,,,
899 Sa2 alShash ,318, 0.81 f ,1285,,,,,,
900 Sa2 al¬Shash ,318, 03/R ,3.39,1380,,,,,
901 Sa2 al¬Shash ,318, 04/R ,3.38,553,,,,,
902 Sa2 al¬Shash ,318, 04/R , 3.28 g ,184,,,,,
903 Sa2 alShash ,318, 04/R , 2.11 f ,737,,,,,
904 Sa2 alShash ,318, 04/R , 1.60 f ,1128,,,,,
905 Sa2 alShash ,319, 1.67 f ,1086,,,,,,
906 Sa2 alShash ,319, 01/R ,3.12,23,,,,,
907 Sa2 al¬Shash ,319, 03/R , 2.81 f ,651,,,,,
908 Sa2 alShash ,319, 03/R , 0.75 f ,1177,,,,,
909 Sa2 alShash ,319, 06/R , 2.03 f ,1352,,,,,
910 Sa2 al¬Shash ,319, 09/R , 1.94 f ,1058,,,,,
911 Sa2 al¬Shash ,319, 11/R ,3.48,62,,,,,
912 Sa2 al¬Shash ,319, 11/R ,3.07,90,,,,,
913 Sa2 al¬Shash ,319, 11/R ,2.91,118,,,,,
914 Sa2 alShash ,319, 322- mule  ,5.68,186,,,,,
915 Sa2 alShash ,30120, 0.76 f ,1065,,,,,,
916 Sa2 alShash ,30820, 1.91 f ,1176,,,,,,
917 Sa2 al¬Shash ,30820, 1.42 f ,1043,,,,,,
918 Sa2 alShash ,30820, 0.91 f ,1222,,,,,,
919 Sa2 al¬Shash ,30820, 0.85 f ,1261,,,,,,
920 Sa2 alShash ,30820, 0.66 f ,951,,,,,,
921 Sa2 alShash ,31820, 1.00 f ,1346,,,,,,
922 Sa2 al¬Shash ,320, 05/R ,3.41,258,,,,,
923 Sa2 al¬Shash ,320, 06/R , 2.77 eg ,560,,,,,
924 Sa2 al¬Shash ,320, 07/R ,3.11,461,,,,,
925 Sa2 alShash ,320, 07/R , 1.85 f ,653,,,,,
926 Sa2 al¬Shash ,321, 01/R ,3.64,212,,,,,
927 Sa2 al¬Shash ,321, 01/R ,3.55,283,,,,,
928 Sa2 alShash ,321, 01/R , 1.26 f ,1315,,,,,
929 Sa2 al¬Shash ,321, 01/R , 0.76 f ,805,,,,,
930 Sa2 al¬Shash ,321, 03/R ,3.13,469,,,,,
931 Sa2 alShash ,321, 07/R , 1.41 f ,924,,,,,
932 Sa2 al¬Shash ,321, 322- mule , ,7.08,306,,,,
933 Sa2 al¬Shash ,32022, 3.29 f ,1332,,,,,,
934 Sa2 alShash ,322, 1.31 f ,1266,,,,,,
935 Sa2 al¬Shash ,322, 02/R ,2.99,396,,,,,
936 Sa2 al¬Shash ,323, 1.74 f ,681,,,,,,
937 Sa2 al¬Shash ,323, 01/R ,3.66,159,,,,,
938 Sa2 al¬Shash ,323, 04/R ,3.72,43,,,,,
939 Sa2 al¬Shash ,323, 04/R , 2.24 f ,1002,,,,,
940 Sa2 al¬Shash ,323, 04/R , 2.11 f ,1203,,,,,
941 Sa2 al¬Shash ,323, 07/R , 3.22 f ,1013,,,,,
942 Sa2 al¬Shash ,323, 08/R ,3.31,561,,,,,
943 Sa2 alShash ,323, 08/R , 2.10 f ,848,,,,,
944 Sa2 al¬Shash ,323, 09/R ,3.16,221,,,,,
945 Sa2 al¬Shash ,323, 10/R ,2.9,371,,,,,
946 Sa2 al¬Shash ,323, 12/R ,3.91,264,,,,,
947 Sa2 al¬Shash ,323, 12/R ,3.51,347,,,,,
948 Sa2 alShash ,323, 12/R , 1.37 f ,1321,,,,,
949 Sa2 alShash ,324, 1.49 fg ,1017,,,,,,
950 Sa2 al¬Shash ,324, 01/R , 1.14 cf ,907,,,,,
951 Sa2 al¬Shash ,324, 02/R ,3.52,250,,,,,
952 Sa2 al¬Shash ,324, 03/R ,4.77,103,,,,,
953 Sa2 al¬Shash ,324, 05/R ,3.21,249,,,,,
954 Sa2 al¬Shash ,324, 05/R , 2.19 f ,1054,,,,,
955 Sa2 al¬Shash ,324, 07/R , 1.52 f ,1265,,,,,
956 Sa2 al¬Shash ,324, 12/R ,4.18,360,,,,,
957 Sa2 al¬Shash ,324, 12/R , 2.57 cg ,143,,,,,
958 Sa2 al¬Shash ,324, 12/R , 2.32 f ,1026,,,,,
959 Sa2 al¬Shash ,324, 14/R ,3.45,516,,,,,
960 Sa2 alShash ,324, 14/R , 1.27 f ,1004,,,,,
961 Sa2 al¬Shash ,325, 07/R , 4.65 g ,116,,,,,
962 Sa2 al¬Shash ,325, 07/R , 2.00 f ,678,,,,,
963 Sa2 al¬Shash ,325, 08/R ,3.15,72,,,,,
964 Sa2 al¬Shash ,325, 09/R ,3.97,455,,,,,
965 Sa2 al¬Shash ,327, 2.16 f ,634,,,,,,
966 Sa2 alShash ,327, 07/R , 1.93 f ,671,,,,,
967 Sa2 al¬Shash ,327, 09/R , 2.43 f ,1093,,,,,
968 Sa2 al¬Shash ,327, 11/R ,4.03,139,,,,,
969 Sa2 alShash ,32229, 1.88 f ,1215,,,,,,
970 Sa2 alShash ,3229, 1.51 f ,925,,,,,,
971 Sa2 al¬Shash ,31831, 1.66 f ,1273,,,,,,
972 Sa2 alShash ,31831, 1.49 f ,908,,,,,,
973 Sa2 al¬Shash ,31831, 1.29 f ,816,,,,,,
974 Sa2 alShash ,31831, 1.01 f ,1057,,,,,,
975 Sa2 alShash ,331, 1.62 f ,1287,,,,,,
976 Sa2 al¬Shash ,331, 03/R , 2.82 e ,135,,,,,
977 Sa2 al¬Shash ,331, 08/R , 2.54 e ,234,,,,,
978 Sa2 al¬Shash ,331, 09/R ,2.89,26,,,,,
979 Sa2 Andaraba/Ma`din ,3109, 2.19 f ,1048,,,,,,
980 Sa2 Andaraba/Ma`din ,31020, 1.63 fg ,741,,,,,,
981 Sa2 Andaraba/Ma`din ,31020, 1.11 f ,1242,,,,,,
982 Sa2 Andaraba/Ma`din ,31020, 0.86 f ,914,,,,,,
983 Sa2 Andaraba/Farwan ,31024, 1.59 f ,672,,,,,,
984 Sa2 Andaraba/Ma`din ,31031, 0.86 f ,787,,,,,,
985 Sa2 Andaraba/Ma`din ,31031, 0.41 f ,818,,,,,,
,0,,,,,,,,
Nuh b. Nasr,0,,,,,,,,
986 Sa2 Andaraba/Ma`din ,333, 2.10 f , 0903. Obv: alMuttaqi lillah. Rev: L/M/R/A/Nuh b Nasr.,,,,,,
987 Sa2 Andaraba ,336, 3.57 e , 0094. Obv: Bandar or Bin Dâ. Rev: L/M/RA/Nuh b Nasr.,,,,,,
"988 Sa2 ""Andarâh"" ""300"" =336   ",0, 1274. Obv: Harb. Rev: alMustakfi billah/Nuh b Nasr.,,,,,,,
989 Sa2 Andaraba ,33339, 03/R04 , 1.73 fh , 0622. Obv: yarkab. Rev: alMustakfi billah/Nuh b Nasr.,,,,,
990 Sa2 Balkh ,341, 03/R03 , 1.45 f , 1162. Obv: Qatakin. Rev: alMustkfi billah/Nuh b Nasr.,,,,,
991 Sa2 Balkh ,342, 04/R01 , 1.50 f , 1338. As preceding.,,,,,
992 Sa2 Balkh ,342, 04/R01 , 1.28 f , 0715. As preceding.,,,,,
993 Sa2 Balkh ,342, 09/R01 , 1.85 f , 1376. As preceding.,,,,,
994 Sa2 Bukhara ,335, 01/R03 , 2.24 f , 0624. Obv: --. Rev: alMustakfi billah/Nuh b Nasr.,,,,,
995 Sa2 Bukhara ,335, 03/R12 , 1.75 f ,1228,,,,,
996 Sa2 Bukhara ,335, 03/Rnew , 1.62 f ,1111,,,,,
997 Sa2 Bukhara ,335, 04/R08 , 2.07 f ,947,,,,,
998 Sa2 Bukhara ,335, 09/R15 , 1.35 f ,635,,,,,
999 Sa2 Bukhara ,335, 14/R  , 1.69 f ,1232,,,,,
1000 Sa2 Bukhara ,335, 18/R18 ,3.01,501,,,,,
1001 Sa2 Bukhara ,336, 01/R02 ,3.14,330,,,,,
1002 Sa2 Bukhara ,336, 07/R13 ,4.26,472,,,,,
1003 Sa2 Bukhara ,336, 13/R03 , 2.15 f ,1116,,,,,
1004 Sa2 Bukhara ,336, 15/R01 , 1.42 f ,1045,,,,,
1005 Sa2 Bukhara ,336, 17/R06 ,3.04,171,,,,,
1006 Sa2 Bukhara ,337, 06/R03 ,2.83,342,,,,,
