STuff1,Date,Stuff2,Stuff3,,,,,,
117 Bw Arrajan ,336, 08/R06 , 2.21 f ,1199,,,,,
118 Bw Shiraz ,333, 03/R02 , 1.59 f , 0760. Obv: `Ali b Buya. Rev: al¬Muttaqi lillah.,,,,,
119 Bw mint `Askar min alAhwaz ,330, 1.45 f , 0804. Obv: Ahmad b Buya. Rev: alMuttaqi lillah/`Ali b Buya.,,,,,,
120 Bw alBasra ,332, 01/R04 ,5.44, 0453. Obv: Abu Mansur b/a al¬m old die. Rev: al¬Muti` lillah/`Imad al¬Dawla/Abu lHasan/Buya.,,,,,
121 Bw al¬Basra ,336,2.71, 0509. Obv: Mu`izz al¬Dawla/ Abu lHusayn/Buya. Rev: al¬Muti` lillah/`Imad al¬Dawla/Abu lHasan/Buya.,,,,,,
122 Bw al¬Basra ,337, 05/R02 ,3.09,402,,,,,
,0,,,,,,,,
Mu`izz al¬Dawla Abu lHusayn Ahmad,0,,,,,,,,
123 Bw Madinat al¬Salam ,339,3.21, 0462. Obv: Mu`izz al¬Dawla/Abu lHusayn/Buya. Rev: al¬Muti` lillah/Rukn al¬Dawla/Abu `Ali/Buya.,,,,,,
124 Bw Suq al¬Ahwaz ,340,3.23,51,,,,,,
125 Bw Tustar min al¬Ahwaz ,341, ,4.25,197,,,,,
,0,,,,,,,,
Rukn al¬Dawla Abu `Ali al¬Hasan,0,,,,,,,,
126 Bw Arrajan ,344, 02/R03 ,4.3, 0155. Obv: Rukn al¬Dawla/ Abu `Ali Buya. Rev: al¬Muti` lillah/`Adud al¬Dawla/Abu Shuja`.,,,,,
127 Bw alMuhammadiyya ,346, , 1.75 f , 0929. Obv: al¬Muti` lillah. Rev: Rukn al¬Dawla/Abu `Ali.,,,,,
128 Bw al¬Muhammadiyya ,348, 03/R01 ,2.94, 0188. Obv:--. Rev: al¬Muti` lillah/Rukn al¬Dawla Abu `Ali.,,,,,
,0,,,,,,,,
SAMANID,0,,,,,,,,
Isma`il b. Ahmad,0,,,,,,,,
129 Sa1 Ba Andaraba ,292,2.82, 0144. Obv: Ahmad b Muhammad b Ahmad. Rev: alMuktafi billah/Isma`il b Ahmad.,,,,,,
130 Sa1 Ba Andaraba ,292, 02/R02 , 1.08 f ,662,,,,,
131 Sa1 Ba Andaraba ,292, 20/R02 , 2.86 eh ,114,,,,,
132 Sa1 Andaraba ,293, 24/R15 ,3.04, 0532. Obv: alMuktafi billah. Rev: Isma`il b Ahmad/--.,,,,,
133 Sa1 Ba Andaraba ,294, 02/R03 ,3.35, 0247. Obv: alMuktafi billah. Rev: Isma`il b Ahmad/Ahmad.,,,,,
134 Sa1 Ba Andaraba ,294, 12/R20 , 1.38 f ,1278,,,,,
135 Sa1 Andaraba ,294, 23/R02 , 1.60 f , 0728. Obv: al¬Muktafi billah. Rev: Isma`il b Ahmad/--.,,,,,
136 Sa1 Ba Andaraba ,294, 29/R12 ,2.77, 0097. Obv: alMuktafi billah. Rev: Isma`il b Ahmad/Ahmad.,,,,,
137 Sa1 Andaraba ,2935, 0.93 f , 1235. Obv: --. Rev: alMuktafi billah/Isma`il b Ahmad.,,,,,,
138 Sa1 Andaraba ,295, 15/R , 1.48 f , 1334. Obv: alMuktafi billah. Isma`il b Ahmad/o.,,,,,
139 Sa1 al¬`Askar ,295, , 3.32 c , 0153. Obv: alMuqtadir billah. Rev: Isma`il b Ahmad/o. Rev die also use for Ma`din ,293,,,,
140 Sa1 Ba Balkh ,292, 01/R02 ,2.86, 0080. Obv: Ahmad b Muhammad b Ahmad. Rev: alMuktafi billah/Isma`il b Ahmad.,,,,,
141 Sa1 Ba Balkh ,292, 01/R02 , 1.72 f , 0674. Type as preceding.,,,,,
142 Sa1 Balkh ,293, 06/R , 1.26 f , 1025. Obv: alMuktafi billah. Rev: Isma`il b Ahmad.,,,,,
143 Sa1 Ba Balkh ,294, ,3.08, 0053. Obv: alMuktafi billah. Rev: Isma`il b Ahmad/Ahmad.,,,,,
144 Sa1 Ba Khuttal ,293, , 1.22 f , 1174. Obv: alHarith b Asad. Rev: alMuktafi billah/Isma`il b Ahmad.,,,,,
145 Sa1 Naysabur ,293, 03/R03 , 2.67 f , 0287. Rev: alMuktafi billah/Isma`il b Ahmad.,,,,,
146 Sa1 Naysabur ,293, 03/R03 , 1.05 fh ,1246,,,,,
147 Sa1 Naysabur ,2934, 0.43 f ,1098,,,,,,
148 Sa1 Naysabur ,294, 02/R02 , 2.25 e ,91,,,,,
149 Sa1 Naysabur ,294, 02/R02 , 2.07 f ,1335,,,,,
150 Sa1 Naysabur ,294, 03/R06 , 1.43 f ,759,,,,,
151 Sa1 Naysabur ,294, 05/R04 , 2.17 f ,960,,,,,
152 Sa1 Samarqand ,282, 02/R02 ,2.89, 1385. Rev: alMu`tadid billah/Isma`il.,,,,,
153 Sa1 Samarqand ,283, , 1.36 f , 1245. Rev: alMu`tadid billah/Isma`il b Ahmad.,,,,,
154 Sa1 Samarqand ,284, 01/R02 ,3.21,240,,,,,
155 Sa1 Samarqand ,284, 02/R01 ,3.1,479,,,,,
156 Sa1 Samarqand ,286, 03/R , 1.29 f ,1092,,,,,
157 Sa1 Samarqand ,287, 03/R ,3.04,173,,,,,
158 Sa1 Samarqand ,287, 03/R , 1.37 f ,937,,,,,
159 Sa1 Samarqand ,288, 01/R ,3.05,377,,,,,
160 Sa1 Samarqand ,288, 03/R ,3,202,,,,,
161 Sa1 Samarqand ,288, 03/R ,2.95,18,,,,,
162 Sa1 Samarqand ,288, 05/R ,3.27,146,,,,,
163 Sa1 Samarqand ,288, 06/R ,2.98,320,,,,,
164 Sa1 Samarqand ,289, 01/R ,2.94, 0385. Rev: alMu`tadid billah/Isma`il b Ahmad.,,,,,
165 Sa1 Samarqand ,289, 02/R , 1.74 f , 1304. As preceding.,,,,,
166 Sa1 Samarqand ,289, 03/R ,3.12, 0099. As preceding.,,,,,
167 Sa1 Samarqand ,289, 03/R ,2.84, 0480. As preceding.,,,,,
168 Sa1 Samarqand ,291, 05/R ,3,104,,,,,
169 Sa1 Samarqand ,291, 05/R , 0.99 f ,994,,,,,
170 Sa1 Samarqand ,292, 02/R , 1.69 f ,1303,,,,,
171 Sa1 Samarqand ,292, 02/R , 1.37 f ,928,,,,,
172 Sa1 Samarqand ,292, 02/R , 0.71 f ,966,,,,,
173 Sa1 Samarqand ,292, 03/R , 0.77 f ,1136,,,,,
174 Sa1 Samarqand ,292, 07/R ,2.93,508,,,,,
175 Sa1 Samarqand ,293, 02/R , 1.66 fh ,1046,,,,,
176 Sa1 Samarqand ,293, 02/R , 0.72 f ,1188,,,,,
177 Sa1 Samarqand ,293, 03/R ,3.12,130,,,,,
178 Sa1 Samarqand ,293, 03/R ,2.9,546,,,,,
179 Sa1 Samarqand ,293, 06/R , 1.66 fh ,1324,,,,,
180 Sa1 Samarqand ,294, 01/R1 , 1.68 f ,708,,,,,
181 Sa1 Samarqand ,294, 05/R , 1.51 f , 2h ,602,,,,
182 Sa1 Samarqand ,294, 06/R ,2.75,463,,,,,
183 Sa1 Samarqand ,294, 06/R , 1.35 f ,698,,,,,
184 Sa1 Samarqand ,294, 12/R , 2.80 h ,565,,,,,
185 Sa1 alShash ,281, 08/R18 , 2.28 f , 0843. Obv:--. Rev: alMu`tadid billah/Isma`il.,,,,,
186 Sa1 al¬Shash ,281, 09/R14 ,3.35,142,,,,,
187 Sa1 al¬Shash ,281, 13/R , 1.58 f ,1226,,,,,
188 Sa1 alShash ,282, 01/R11 , 1.25 f , 0838. Obv: Binkath. Rev: alMu`tadid billah/Isma`il.,,,,,
189 Sa1 al¬Shash ,282, 01/R18 ,2.83,313,,,,,
190 Sa1 alShash ,282, 01/R18 , 1.72 f ,852,,,,,
191 Sa1 al¬Shash ,282, 01/R18 , 0.66 f ,952,,,,,
192 Sa1 al¬Shash ,282, 02/R10 , 1.43 f ,918,,,,,
193 Sa1 al¬Shash ,282, 10/R16 , 1.29 f , 1343. Obv: --. Rev: alMu`tadid billah/Isma`il.,,,,,
194 Sa1 al¬Shash ,282, 11/R17 , 2.31 f ,1120,,,,,
195 Sa1 al¬Shash ,282, 17/R22 ,2.92,179,,,,,
196 Sa1 alShash ,282, 18/R , 1.51 f ,752,,,,,
197 Sa1 al¬Shash ,282, 18/R04 ,2.93,239,,,,,
198 Sa1 al¬Shash ,282, 18/R04 ,2.89,323,,,,,
199 Sa1 al¬Shash ,282, 19/R09 ,3.48,102,,,,,
200 Sa1 al¬Shash ,282, 20/R20 ,2.93,303,,,,,
201 Sa1 alShash ,2823, 1.52 f ,981,,,,,,
202 Sa1 al¬Shash ,283, 01/R04 ,2.93, 0109. Obv: Binkath. Rev: alMu`tadid billah/Isma`il.,,,,,
203 Sa1 al¬Shash ,283, 04/R08 ,3.03,308,,,,,
204 Sa1 al¬Shash ,283, 04/R49 , 1.25 f , 1311. Obv: Binkath. Rev: alMu`tadid billah/Isma`il b Ahmad.,,,,,
205 Sa1 al¬Shash ,283, 10/R37 ,3.01,404,,,,,
206 Sa1 al¬Shash ,283, 16/R ,3.05, 0285. Obv: --. Rev: alMu`tadid billah/Isma`il b Ahmad.,,,,,
207 Sa1 al¬Shash ,283, 16/R , 2.17 f ,1173,,,,,
208 Sa1 alShash ,283, 17/R , 1.28 f ,997,,,,,
209 Sa1 al¬Shash ,283, 21/R , 2.94 h ,591,,,,,
210 Sa1 al¬Shash ,283, 22/R ,2.94,259,,,,,
211 Sa1 al¬Shash ,283, 26/R36 ,3.01,178,,,,,
212 Sa1 al¬Shash ,283, 26/R50 ,2.99,474,,,,,
213 Sa1 al¬Shash ,283, 28/R38 , 2.86 h ,595,,,,,
214 Sa1 al¬Shash ,283, 32/R , 1.68 fg ,927,,,,,
215 Sa1 al¬Shash ,283, 33/R ,2.75,266,,,,,
216 Sa1 al¬Shash ,283, 33/R33 , 1.44 f ,705,,,,,
217 Sa1 alShash ,283, 37/R , 1.45 f ,1373,,,,,
218 Sa1 al¬Shash ,283, 37/R36 ,2.91,145,,,,,
